squareMeters;numberOfRooms;hasYard;hasPool;floors;cityCode;cityPartRange;numPrevOwners;made;isNewBuilt;hasStormProtector;basement;attic;garage;hasStorageRoom;hasGuestRoom;price;category
75523;3;0;1;63;9373;3;8;2005;0;1;4313;9005;956;0;7;75590815;0
80771;39;1;1;98;39381;8;6;2015;1;0;3653;2436;128;1;2;80859895;1
55712;58;0;1;19;34457;6;8;2021;0;0;2937;8852;135;1;9;55746421;0
32316;47;0;0;6;27939;10;4;2012;0;1;659;7141;359;0;3;32325612;0
70429;19;1;1;90;38045;3;7;1990;1;0;8435;2429;292;1;4;7055052;1
39223;36;0;1;17;39489;8;6;2012;0;1;2009;4552;757;0;1;39266472;0
58682;10;1;1;99;6450;10;9;1995;1;1;5930;9453;848;0;5;58763765;1
86929;100;1;0;11;98155;3;4;2003;1;0;6326;4748;654;0;10;86968693;0
51522;3;0;0;61;9047;8;3;2012;1;1;632;5792;807;1;5;51540552;0
39686;42;0;0;15;71019;5;8;2021;1;1;5198;5342;591;1;3;39708921;0
23563;21;0;1;90;91058;6;8;1993;1;0;703;852;684;1;10;23663973;0
96470;74;1;0;21;92029;4;2;2011;1;1;5414;1172;716;1;9;96522581;0
19127;31;1;0;5;7475;2;9;2008;0;0;5387;4430;374;0;4;19146888;0
13087;44;1;0;77;40475;8;4;2004;1;0;1745;724;582;0;0;13208034;0
79770;3;0;1;69;54812;10;5;2018;0;1;8871;7117;240;0;7;79866658;0
75985;60;1;0;67;6517;6;9;2009;1;1;4878;281;384;1;5;76073229;0
64169;88;0;1;6;61711;3;9;2011;1;1;3054;129;726;0;9;64208231;0
99371;31;1;1;16;96297;7;8;2013;1;1;3258;6296;354;1;8;99447053;1
25966;37;1;1;17;22818;3;1;2016;0;0;8257;2557;162;0;6;26044866;0
41792;43;1;1;10;80768;9;5;2017;1;1;2950;9573;572;1;5;41876677;1
28795;64;1;1;50;97667;3;4;2009;1;1;9862;2666;330;1;0;28880479;1
92383;12;0;0;78;71982;3;7;2000;0;0;7507;9056;892;1;1;9244344;0
33279;64;1;0;65;91690;3;2;2019;1;1;2427;717;732;0;1;33333519;0
34782;47;0;0;73;35331;1;4;2020;0;1;9586;6604;822;0;2;3482594;0
13386;51;0;0;90;87978;4;6;1993;0;0;2885;1149;904;1;4;13425093;0
20883;56;0;0;54;85377;5;9;2018;0;0;9982;8142;670;1;10;20915058;0
95121;46;0;1;3;9382;7;9;1994;0;0;615;1221;328;0;10;95154404;0
6071;72;1;0;14;8410;2;6;2003;1;1;3306;3635;295;0;2;6124713;0
